Feature,Importance
Feature_3,0.99982515228215
Feature_2,4.5048925375915116e-05
Feature_39,3.061747707899975e-05
Feature_46,2.489960532301822e-05
Feature_24,1.831101857625417e-05
Feature_4,1.299927810391927e-05
Feature_14,1.2690414313808652e-05
Feature_44,8.486444608084219e-06
Feature_13,8.322440537283579e-06
Feature_11,5.962040009931041e-06
Feature_23,3.248123489940602e-06
Feature_45,1.6283379291875172e-06
Feature_22,1.390436772626362e-06
Feature_9,7.459971699148409e-07
Feature_40,2.588382545244768e-07
Feature_1,1.1904056826409938e-07
Feature_6,7.695183256668902e-08
Feature_21,4.234790470369224e-08
Feature_7,8.942636347147088e-16
Feature_8,1.8443614234141177e-16
Feature_10,9.393361884069303e-19
Feature_33,0.0
Feature_43,0.0
Feature_34,0.0
Feature_35,0.0
Feature_36,0.0
Feature_37,0.0
Feature_38,0.0
Feature_42,0.0
Feature_41,0.0
Feature_17,0.0
Feature_18,0.0
Feature_19,0.0
Feature_20,0.0
Feature_28,0.0
Feature_27,0.0
Feature_26,0.0
Feature_25,0.0
Feature_29,0.0
Feature_30,0.0
Feature_31,0.0
Feature_32,0.0
Feature_12,0.0
Feature_16,0.0
Feature_15,0.0
Feature_5,0.0
